"No.","Time","Source","Destination","Protocol","Length","Info"
"50","36.271255248","192.168.153.128","192.168.153.1","DNS","79","Standard query 0xd7f9 A main.vscode-cdn.net"
"51","36.483743933","192.168.153.128","192.168.153.1","DNS","74","Standard query 0x1a70 A api.github.com"
"52","36.483935860","192.168.153.128","192.168.153.1","DNS","74","Standard query 0x722d HTTPS api.github.com"
"53","36.485840117","192.168.153.128","192.168.153.1","DNS","101","Standard query 0xb8dd A westus-0.in.applicationinsights.azure.com"
"54","36.485935391","192.168.153.128","192.168.153.1","DNS","101","Standard query 0x8db1 AAAA westus-0.in.applicationinsights.azure.com"
"55","36.642348321","192.168.153.128","192.168.153.1","DNS","80","Standard query 0x04ab A education.github.com"
"56","36.642554898","192.168.153.128","192.168.153.1","DNS","80","Standard query 0x3af6 HTTPS education.github.com"
"57","36.905741370","192.168.153.128","192.168.153.1","DNS","74","Standard query 0x5347 A api.github.com"
"58","36.905969646","192.168.153.128","192.168.153.1","DNS","74","Standard query 0x73bd HTTPS api.github.com"
"59","37.109711538","192.168.153.128","192.168.153.1","DNS","88","Standard query 0x39e1 A update.code.visualstudio.com"
"60","37.655222267","192.168.153.128","192.168.153.1","DNS","80","Standard query 0x851c A education.github.com"
"61","37.655481741","192.168.153.128","192.168.153.1","DNS","80","Standard query 0x031c HTTPS education.github.com"
"62","37.916992857","192.168.153.128","192.168.153.1","DNS","74","Standard query 0xcc4e A api.github.com"
"63","37.917311918","192.168.153.128","192.168.153.1","DNS","74","Standard query 0x275c HTTPS api.github.com"
"64","37.989338292","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"65","38.102023596","192.168.153.128","192.168.153.1","DNS","92","Standard query 0x9885 A mobile.events.data.microsoft.com"
"66","38.507109915","192.168.153.128","192.168.153.1","DNS","74","Standard query 0xc965 A api.github.com"
"67","39.678837588","192.168.153.128","192.168.153.1","DNS","80","Standard query 0x8fdb A education.github.com"
"68","39.941254026","192.168.153.128","192.168.153.1","DNS","74","Standard query 0xf76d A api.github.com"
"69","40.108188362","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"70","40.170148029","192.168.153.128","192.168.153.1","DNS","89","Standard query 0x1f54 A avatars.githubusercontent.com"
"71","40.217809484","192.168.153.128","192.168.153.1","DNS","79","Standard query 0x3a94 A default.exp-tas.com"
"72","40.621033460","192.168.153.128","192.168.153.1","DNS","79","Standard query 0x45f6 A default.exp-tas.com"
"73","40.621121387","192.168.153.128","192.168.153.1","DNS","79","Standard query 0xb5f4 AAAA default.exp-tas.com"
"74","41.162275186","192.168.153.128","192.168.153.1","DNS","89","Standard query 0xc88b A avatars.githubusercontent.com"
"75","41.226377568","192.168.153.128","192.168.153.1","DNS","79","Standard query 0x812c A default.exp-tas.com"
"76","41.287749276","192.168.153.128","192.168.153.1","DNS","79","Standard query 0xd7f9 A main.vscode-cdn.net"
"77","41.488551813","192.168.153.128","192.168.153.1","DNS","101","Standard query 0xb8dd A westus-0.in.applicationinsights.azure.com"
"78","41.488682818","192.168.153.128","192.168.153.1","DNS","101","Standard query 0x8db1 AAAA westus-0.in.applicationinsights.azure.com"
"79","42.112514159","192.168.153.128","192.168.153.1","DNS","88","Standard query 0x39e1 A update.code.visualstudio.com"
"80","42.227446208","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"81","42.271755287","192.168.153.128","192.168.153.1","DNS","79","Standard query 0x07d1 A main.vscode-cdn.net"
"82","43.113554817","192.168.153.128","192.168.153.1","DNS","92","Standard query 0x9885 A mobile.events.data.microsoft.com"
"83","43.114665531","192.168.153.128","192.168.153.1","DNS","88","Standard query 0xef4e A update.code.visualstudio.com"
"84","43.513294320","192.168.153.128","192.168.153.1","DNS","74","Standard query 0xc965 A api.github.com"
"85","43.670843294","192.168.153.128","192.168.153.1","DNS","88","Standard query 0x48cc A marketplace.visualstudio.com"
"86","43.670940096","192.168.153.128","192.168.153.1","DNS","88","Standard query 0x1678 HTTPS marketplace.visualstudio.com"
